[INFO] [1700962620.633622526] [slam_toolbox]: Node using stack size 40000000
[INFO] [1700962620.805300327] [slam_toolbox]: Using solver plugin solver_plugins::CeresSolver
[INFO] [1700962620.806514592] [slam_toolbox]: CeresSolver: Using SCHUR_JACOBI preconditioner.
[WARN] [1700962623.564546880] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962623.680191956] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962623.793695112] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962623.902080711] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.023542947] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.138606530] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.253235803] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.359738330] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.476391414] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.597381359] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.712826567] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.819721998] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962624.942071112] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.055943430] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.163305449] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.279000913] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.400421871] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.514945071] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.622310608] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.744215190] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.858752871] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962625.967180712] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962626.089385939] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700962626.202771095] [slam_toolbox]: Failed to compute odom pose
