[INFO] [1700964693.149991751] [slam_toolbox]: Node using stack size 40000000
[INFO] [1700964693.233340293] [slam_toolbox]: Using solver plugin solver_plugins::CeresSolver
[INFO] [1700964693.234526536] [slam_toolbox]: CeresSolver: Using SCHUR_JACOBI preconditioner.
[WARN] [1700964720.606361191] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964720.720992617] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964720.827999626] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964720.948896451] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.063719097] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.177226206] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.285484550] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.406030324] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.520514697] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.635129124] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.741195868] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.864074260] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964721.976546770] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.082737902] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.205239872] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.312008940] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.434093657] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.547752560] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.662706816] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.768358991] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.882495647] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964722.997714085] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.110931641] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.232920156] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.346241063] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.461036303] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.574574059] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.689099451] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.803243643] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964723.917142358] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.024433864] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.145151914] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.260136058] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.373648186] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.479871465] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.595591433] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.716441667] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.831216907] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964724.944207485] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.059500885] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.166213269] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.278922981] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.401584636] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.515871493] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.630743417] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.743549517] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.858301943] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964725.971608739] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.086313610] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.200201992] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.314117744] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.428632395] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.541910877] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.656776691] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.764455414] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.884498436] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964726.998584093] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.112591010] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.226887535] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.340301238] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.447703095] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.562341281] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.674719943] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.790317820] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964727.903424824] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964728.025493264] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964728.138879375] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700964728.253094993] [slam_toolbox]: Failed to compute odom pose
