[INFO] [1700963092.919046397] [slam_toolbox]: Node using stack size 40000000
[INFO] [1700963093.574228217] [slam_toolbox]: Using solver plugin solver_plugins::CeresSolver
[INFO] [1700963093.578048675] [slam_toolbox]: CeresSolver: Using SCHUR_JACOBI preconditioner.
[INFO] [1700963093.710622155] [slam_toolbox]: Message Filter dropping message: frame 'laser_frame' at time 1700963093.475 for reason 'discarding message because the queue is full'
[WARN] [1700963093.711103057] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963093.825391221] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963093.932947718] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.045962655] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.160377521] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.274201690] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.388597890] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.501300478] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.615970471] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.730637020] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.843793900] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963094.958183173] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.079018894] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.193163115] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.307202096] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.421504316] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.535404706] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.642353376] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.763461391] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.877123284] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963095.991361966] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.097812328] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.219539428] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.333543520] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.446940046] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.561620983] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.674986175] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.789189229] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963096.895824903] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.009741626] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.124516396] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.238173344] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.352013550] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.466652209] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.579835182] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.694663062] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.808232437] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963097.922436898] [slam_toolbox]: Failed to compute odom pose
[WARN] [1700963098.036094605] [slam_toolbox]: Failed to compute odom pose
[INFO] [1700963098.100763298] [rclcpp]: signal_handler(signum=2)
