[INFO] [1699797528.507332468] [publisher]: Rotating left...
[INFO] [1699797528.614695167] [publisher]: Rotating left...
[INFO] [1699797528.739066684] [publisher]: Rotating left...
[INFO] [1699797528.843455656] [publisher]: Rotating left...
[INFO] [1699797528.953739990] [publisher]: Rotating left...
[INFO] [1699797529.070601161] [publisher]: Rotating left...
[INFO] [1699797529.181106049] [publisher]: Rotating left...
[INFO] [1699797529.296355608] [publisher]: Rotating left...
[INFO] [1699797529.414965835] [publisher]: Rotating left...
[INFO] [1699797529.528379506] [publisher]: Rotating left...
[INFO] [1699797529.635633188] [publisher]: Rotating left...
[INFO] [1699797529.752211548] [publisher]: Rotating left...
[INFO] [1699797529.869323438] [publisher]: Rotating left...
[INFO] [1699797529.981866767] [publisher]: Rotating left...
[INFO] [1699797530.094026174] [publisher]: Rotating left...
[INFO] [1699797530.209752710] [publisher]: Rotating left...
[INFO] [1699797530.311254175] [publisher]: Rotating left...
[INFO] [1699797530.425537948] [publisher]: Rotating left...
[INFO] [1699797530.543321221] [publisher]: Rotating left...
[INFO] [1699797530.650034983] [publisher]: Rotating left...
[INFO] [1699797530.765309504] [publisher]: Rotating left...
[INFO] [1699797530.880019069] [publisher]: Rotating left...
[INFO] [1699797530.988866752] 
